rank,article,views,date,project
1,חיים_אתגר,12285,2026-09-21,he.wikipedia
2,עמוד_ראשי,12109,2026-09-21,he.wikipedia
3,ליזי_בורדן,5849,2026-09-21,he.wikipedia
4,לאה_אתגר,4589,2026-09-21,he.wikipedia
5,מיוחד:חיפוש,4278,2026-09-21,he.wikipedia
6,יום_הכיפורים,3652,2026-09-21,he.wikipedia
7,פאודה,2933,2026-09-21,he.wikipedia
8,סינדי_קרופורד,2842,2026-09-21,he.wikipedia
9,אנשים_שפגשתי,2271,2026-09-21,he.wikipedia
10,מפלצת:_הסיפור_של_ליזי_בורדן,2128,2026-09-21,he.wikipedia
11,נחומי_יפה,2124,2026-09-21,he.wikipedia
12,ישי_לוי,1976,2026-09-21,he.wikipedia
13,הפשוטע_(סדרת_טלוויזיה),1795,2026-09-21,he.wikipedia
14,דרוויש_(מוזיקאי),1742,2026-09-21,he.wikipedia
15,לבנה_פינקלשטיין,1607,2026-09-21,he.wikipedia
16,קאיה_גרבר,1398,2026-09-21,he.wikipedia
17,קובי_אריאלי,1356,2026-09-21,he.wikipedia
17,"נז""א_(סרט)",1356,2026-09-21,he.wikipedia
19,פרשת_אלאור_אזריה,1313,2026-09-21,he.wikipedia
20,איילין_וורנוס,1262,2026-09-21,he.wikipedia
21,הומו_נשר_רמלה,1085,2026-09-21,he.wikipedia
22,גרי_מנדלבאום,1082,2026-09-21,he.wikipedia
22,ההילולה,1082,2026-09-21,he.wikipedia
24,איתמר_פליישמן,1077,2026-09-21,he.wikipedia
24,מארינה_מקסימיליאן,1077,2026-09-21,he.wikipedia
26,קופה_ראשית,1056,2026-09-21,he.wikipedia
27,כל_נדרי,1027,2026-09-21,he.wikipedia
28,מלחמת_יום_הכיפורים,1012,2026-09-21,he.wikipedia
29,שמואל_גונן,1008,2026-09-21,he.wikipedia
30,מיוחד:שינויים_אחרונים,1003,2026-09-21,he.wikipedia
31,מוטי_זוננפלד,1001,2026-09-21,he.wikipedia
