rank,article,views,date,project
1,Hoofdpagina,123246,2026-09-20,nl.wikipedia
2,Speciaal:Zoeken,23118,2026-09-20,nl.wikipedia
3,Lizzie_Borden,21502,2026-09-20,nl.wikipedia
4,Heleen_Herbert,6901,2026-09-20,nl.wikipedia
5,Imke_Courtois,5552,2026-09-20,nl.wikipedia
6,Aileen_Wuornos,4960,2026-09-20,nl.wikipedia
7,Freddie_Mercury,4822,2026-09-20,nl.wikipedia
8,Desray,4775,2026-09-20,nl.wikipedia
9,Ben_Saunders_(zanger),4630,2026-09-20,nl.wikipedia
10,Marco_van_Basten,4611,2026-09-20,nl.wikipedia
11,Lijst_van_wereldkampioenen_tijdrit_elite_mannen,4526,2026-09-20,nl.wikipedia
12,Camiel_Eurlings,4279,2026-09-20,nl.wikipedia
13,Monster:_The_Lizzie_Borden_Story,4214,2026-09-20,nl.wikipedia
14,Zoë_Livay,3542,2026-09-20,nl.wikipedia
15,Paul_Haenen,3224,2026-09-20,nl.wikipedia
16,Johnny_Cash,3181,2026-09-20,nl.wikipedia
17,Daouda_Weidmann,3180,2026-09-20,nl.wikipedia
18,Make_Up_Your_Mind_(Nederland),3178,2026-09-20,nl.wikipedia
19,Mecklenburg-Voor-Pommeren,3137,2026-09-20,nl.wikipedia
20,Anton_Jäger,3016,2026-09-20,nl.wikipedia
21,Remco_Evenepoel,2988,2026-09-20,nl.wikipedia
22,Nettiquette,2948,2026-09-20,nl.wikipedia
23,De_eetclub_(boek),2921,2026-09-20,nl.wikipedia
24,Montréal,2916,2026-09-20,nl.wikipedia
25,De_twaalf,2784,2026-09-20,nl.wikipedia
26,Nacho_Ferri,2753,2026-09-20,nl.wikipedia
27,Ede_Staal,2747,2026-09-20,nl.wikipedia
28,Wout_Weghorst,2589,2026-09-20,nl.wikipedia
29,Wim_T._Schippers,2503,2026-09-20,nl.wikipedia
30,Claudia_van_Bruggen,2484,2026-09-20,nl.wikipedia
31,Ella_Beatty,2475,2026-09-20,nl.wikipedia
32,Ronald_Koeman,2468,2026-09-20,nl.wikipedia
33,Marlen_Reusser,2440,2026-09-20,nl.wikipedia
34,Gjivai_Zechiël,2353,2026-09-20,nl.wikipedia
35,Marijn_Kuipers,2311,2026-09-20,nl.wikipedia
36,Ronald_Koeman_jr.,2270,2026-09-20,nl.wikipedia
37,Charlie_Chan_Dagelet,2170,2026-09-20,nl.wikipedia
38,De_Verraders_(Vlaanderen),2094,2026-09-20,nl.wikipedia
39,Dave_Roelvink,2015,2026-09-20,nl.wikipedia
40,Die_Linke,1937,2026-09-20,nl.wikipedia
41,John_West,1911,2026-09-20,nl.wikipedia
42,Perr_Schuurs,1784,2026-09-20,nl.wikipedia
43,Vlag_van_het_Verenigd_Koninkrijk,1742,2026-09-20,nl.wikipedia
44,Tolu_Arokodare,1735,2026-09-20,nl.wikipedia
45,Billy_Dans,1734,2026-09-20,nl.wikipedia
46,Reuzenhaai,1731,2026-09-20,nl.wikipedia
47,Noah_Ohio,1712,2026-09-20,nl.wikipedia
48,Wereldkampioenschappen_wielrennen,1702,2026-09-20,nl.wikipedia
49,Charlie_Hunnam,1677,2026-09-20,nl.wikipedia
50,Zwarte_zon,1674,2026-09-20,nl.wikipedia
51,Wibi_Soerjadi,1622,2026-09-20,nl.wikipedia
52,Dean_Huijsen,1610,2026-09-20,nl.wikipedia
53,Olcay_Gulsen,1608,2026-09-20,nl.wikipedia
54,Attersee_(meer),1604,2026-09-20,nl.wikipedia
55,The_Odyssey_(2026),1578,2026-09-20,nl.wikipedia
56,Raphinha,1572,2026-09-20,nl.wikipedia
57,Canada,1567,2026-09-20,nl.wikipedia
58,Rick_Karsdorp,1551,2026-09-20,nl.wikipedia
59,June_Carter_Cash,1534,2026-09-20,nl.wikipedia
60,Queen,1518,2026-09-20,nl.wikipedia
61,Lijst_van_personen_overleden_in_september_2026,1493,2026-09-20,nl.wikipedia
62,Luciano_Valente,1465,2026-09-20,nl.wikipedia
62,Speciaal:RecenteWijzigingen,1465,2026-09-20,nl.wikipedia
64,The_Streamers,1426,2026-09-20,nl.wikipedia
65,Nederland,1424,2026-09-20,nl.wikipedia
66,Matthijs_van_de_Sande_Bakhuyzen,1402,2026-09-20,nl.wikipedia
67,Jom_Kipoer,1379,2026-09-20,nl.wikipedia
68,Jos_Van_Oosterwyck,1366,2026-09-20,nl.wikipedia
69,Pieter_Cobelens,1363,2026-09-20,nl.wikipedia
70,Coopertest,1360,2026-09-20,nl.wikipedia
71,Coornhert-Liga,1356,2026-09-20,nl.wikipedia
72,Anis_Hadj_Moussa,1326,2026-09-20,nl.wikipedia
73,De_eetclub_(film),1318,2026-09-20,nl.wikipedia
74,Cause_célèbre,1306,2026-09-20,nl.wikipedia
75,Guus_Til,1302,2026-09-20,nl.wikipedia
76,Wereldkampioenschappen_wielrennen_2026,1296,2026-09-20,nl.wikipedia
77,Connie_Palmen,1290,2026-09-20,nl.wikipedia
78,Vicky_Krieps,1282,2026-09-20,nl.wikipedia
79,Bizzey,1275,2026-09-20,nl.wikipedia
80,Alternative_für_Deutschland,1265,2026-09-20,nl.wikipedia
80,Giselinde_Kuipers,1265,2026-09-20,nl.wikipedia
82,Noortje_Herlaar,1259,2026-09-20,nl.wikipedia
83,Hélène_Hendriks,1250,2026-09-20,nl.wikipedia
84,Meghan_Trainor,1249,2026-09-20,nl.wikipedia
85,John_de_Bever,1244,2026-09-20,nl.wikipedia
86,Giovanni_van_Bronckhorst,1212,2026-09-20,nl.wikipedia
87,Henk_Helmantel,1184,2026-09-20,nl.wikipedia
88,Vanessa_Van_Cartier,1180,2026-09-20,nl.wikipedia
89,Limitless,1176,2026-09-20,nl.wikipedia
90,Gover_Meit,1172,2026-09-20,nl.wikipedia
91,Loes_Haverkort,1166,2026-09-20,nl.wikipedia
92,Koen_Wauters,1163,2026-09-20,nl.wikipedia
93,Saint-Pierre_en_Miquelon,1148,2026-09-20,nl.wikipedia
94,Liesbet_Sommen,1141,2026-09-20,nl.wikipedia
95,Jelani_Seedorf,1124,2026-09-20,nl.wikipedia
95,Monster_(Amerikaanse_televisieserie),1124,2026-09-20,nl.wikipedia
97,Fay_Claassen,1117,2026-09-20,nl.wikipedia
98,Ellen_ten_Damme,1094,2026-09-20,nl.wikipedia
99,Lyon,1078,2026-09-20,nl.wikipedia
100,Clouseau,1074,2026-09-20,nl.wikipedia
101,Elisabeth_Báthory,1060,2026-09-20,nl.wikipedia
102,Nicolaas_Veul,1056,2026-09-20,nl.wikipedia
103,Reiss_Nelson,1050,2026-09-20,nl.wikipedia
104,Amed_SFK,1038,2026-09-20,nl.wikipedia
105,Charles_de_Gaulle,1037,2026-09-20,nl.wikipedia
106,Langpootmuggen,1035,2026-09-20,nl.wikipedia
107,Tibo_Vandenborre,1027,2026-09-20,nl.wikipedia
108,Ruben_Brekelmans,1026,2026-09-20,nl.wikipedia
109,Ellen_Jens,1024,2026-09-20,nl.wikipedia
110,Lijst_van_Duitse_kentekens,1017,2026-09-20,nl.wikipedia
111,Céline_Dion,1006,2026-09-20,nl.wikipedia
112,The_Whisper_Man,999,2026-09-20,nl.wikipedia
112,Operatie_Market_Garden,999,2026-09-20,nl.wikipedia
114,Hendrik_VIII_van_Engeland,998,2026-09-20,nl.wikipedia
115,Stichting_Nederlandse_Publieke_Omroep,997,2026-09-20,nl.wikipedia
116,Filippo_Ganna,984,2026-09-20,nl.wikipedia
117,20_september,983,2026-09-20,nl.wikipedia
118,Dominique_De_Groen,973,2026-09-20,nl.wikipedia
119,Deelstaten_van_Duitsland,968,2026-09-20,nl.wikipedia
120,Pressure_(2026),963,2026-09-20,nl.wikipedia
121,Camp_David,960,2026-09-20,nl.wikipedia
122,Yellow_Claw,958,2026-09-20,nl.wikipedia
123,Macklemore,952,2026-09-20,nl.wikipedia
124,Anthony_Correia,942,2026-09-20,nl.wikipedia
125,Hella_Hueck,940,2026-09-20,nl.wikipedia
126,Ender_Scholtens,938,2026-09-20,nl.wikipedia
127,Nina_Jurna,936,2026-09-20,nl.wikipedia
128,Krijtrotsen_van_Dover,933,2026-09-20,nl.wikipedia
129,Shannen_Doherty,921,2026-09-20,nl.wikipedia
130,Wim_Voermans,914,2026-09-20,nl.wikipedia
131,Oktoberfest,911,2026-09-20,nl.wikipedia
132,Stefan_de_Walle,907,2026-09-20,nl.wikipedia
133,Caissonziekte,893,2026-09-20,nl.wikipedia
134,Greenwich_(Londen),887,2026-09-20,nl.wikipedia
135,The_Gentlemen_(televisieserie),884,2026-09-20,nl.wikipedia
136,Stijn_Steels,878,2026-09-20,nl.wikipedia
137,Nederlandse_Omroep_Stichting,873,2026-09-20,nl.wikipedia
138,Anna_Boleyn,862,2026-09-20,nl.wikipedia
138,Kush_(drug),862,2026-09-20,nl.wikipedia
140,Lijst_van_wereldkampioenen_wegrit_elite_mannen,861,2026-09-20,nl.wikipedia
141,Ursula_von_der_Leyen,854,2026-09-20,nl.wikipedia
142,2_Brothers_on_the_4th_Floor,853,2026-09-20,nl.wikipedia
143,Zoe_Bäckstedt,844,2026-09-20,nl.wikipedia
144,Sarah_Paulson,841,2026-09-20,nl.wikipedia
145,Complottheorieën_over_de_aanslagen_op_11_september_2001,838,2026-09-20,nl.wikipedia
145,Bert_en_Ernie,838,2026-09-20,nl.wikipedia
147,Edwin_Jonker,832,2026-09-20,nl.wikipedia
148,Mathieu_van_der_Poel,829,2026-09-20,nl.wikipedia
149,Ed_Sheeran,825,2026-09-20,nl.wikipedia
150,Hamas-aanval_in_Israël_2023,820,2026-09-20,nl.wikipedia
151,Ahmed_Ammi,813,2026-09-20,nl.wikipedia
152,Hans_Dagelet,812,2026-09-20,nl.wikipedia
153,Violet_Braeckman,809,2026-09-20,nl.wikipedia
154,Nigel_de_Jong,801,2026-09-20,nl.wikipedia
155,Robert_Maaskant,795,2026-09-20,nl.wikipedia
156,Houthi's,791,2026-09-20,nl.wikipedia
157,Donny_Roelvink,789,2026-09-20,nl.wikipedia
157,Luke_Perry,789,2026-09-20,nl.wikipedia
159,Sesamstraat,788,2026-09-20,nl.wikipedia
159,Fajah_Lourens,788,2026-09-20,nl.wikipedia
161,Warren_Beatty,782,2026-09-20,nl.wikipedia
161,Bab_el_Mandeb,782,2026-09-20,nl.wikipedia
163,Lijst_van_personen_overleden_in_2026,766,2026-09-20,nl.wikipedia
164,Rami_Malek,764,2026-09-20,nl.wikipedia
165,Melvin_Boel,761,2026-09-20,nl.wikipedia
166,Johan_Cruijff,759,2026-09-20,nl.wikipedia
167,Mexx_Meerdink,756,2026-09-20,nl.wikipedia
168,Charles_Spencer,754,2026-09-20,nl.wikipedia
169,Brian_Brobbey,750,2026-09-20,nl.wikipedia
170,Fauda,748,2026-09-20,nl.wikipedia
171,Jos_Leijdekkers,746,2026-09-20,nl.wikipedia
