rank,article,views,date,project
1,Halaman_Utama,20872,2026-09-22,id.wikipedia
2,Amanda_Rigby,16902,2026-09-22,id.wikipedia
3,Istimewa:Pencarian,15688,2026-09-22,id.wikipedia
4,Susilo_Nugroho,7910,2026-09-22,id.wikipedia
5,Andre_Taulany,6892,2026-09-22,id.wikipedia
6,Java_United_FC,5449,2026-09-22,id.wikipedia
7,Fendy_Pradana,4227,2026-09-22,id.wikipedia
8,Mario_Caesar,4161,2026-09-22,id.wikipedia
9,Hong_Kong,3891,2026-09-22,id.wikipedia
10,Purbaya_Yudhi_Sadewa,3029,2026-09-22,id.wikipedia
11,Hasan_Abdullah_Sahal,2830,2026-09-22,id.wikipedia
12,Suahasil_Nazara,2810,2026-09-22,id.wikipedia
13,D'Academy_(musim_8),2596,2026-09-22,id.wikipedia
14,Inna_lillahi_wa_inna_ilaihi_raji'un,2577,2026-09-22,id.wikipedia
15,Sirajudin_Lasena,2488,2026-09-22,id.wikipedia
16,Djaka_Budi_Utama,2237,2026-09-22,id.wikipedia
17,Givina_Lukita_Dewi,2159,2026-09-22,id.wikipedia
18,Yulia_Rachman,2033,2026-09-22,id.wikipedia
19,Indonesia,1925,2026-09-22,id.wikipedia
20,Nusron_Wahid,1899,2026-09-22,id.wikipedia
21,Gibran_Rakabuming_Raka,1881,2026-09-22,id.wikipedia
22,Infotainment_Awards_2026,1844,2026-09-22,id.wikipedia
23,Denny_Indrayana,1760,2026-09-22,id.wikipedia
24,Sara_Wijayanto,1732,2026-09-22,id.wikipedia
25,Pondok_Modern_Darussalam_Gontor,1672,2026-09-22,id.wikipedia
26,The_Scandal_(seri_televisi_2026),1652,2026-09-22,id.wikipedia
27,Kangen_Band,1633,2026-09-22,id.wikipedia
28,Demian_Aditya,1631,2026-09-22,id.wikipedia
29,Prabowo_Subianto,1561,2026-09-22,id.wikipedia
30,Informatika,1532,2026-09-22,id.wikipedia
31,Pesta_Olahraga_Asia_2026,1512,2026-09-22,id.wikipedia
32,Hengki_Haryadi,1422,2026-09-22,id.wikipedia
33,Berkas:Signature_Purbaya_Yudhi_Sadewa.png,1210,2026-09-22,id.wikipedia
34,Jepang,1200,2026-09-22,id.wikipedia
35,Tenggelamnya_KM_Virgo_Transport_8,1169,2026-09-22,id.wikipedia
36,Resal_Octavian,1133,2026-09-22,id.wikipedia
37,Ahmad_Sahal,1125,2026-09-22,id.wikipedia
38,Karim_Benzema,1106,2026-09-22,id.wikipedia
39,Berkas:Kim_Jong-un_at_the_Workers'_Party_of_Korea_main_building.png,1045,2026-09-22,id.wikipedia
40,"Ibu,_Bagaimana_Aku_Tanpamu?",1026,2026-09-22,id.wikipedia
41,Video_viral,1022,2026-09-22,id.wikipedia
42,Baringin_Panggabean,1000,2026-09-22,id.wikipedia
43,Cristian_Romero,942,2026-09-22,id.wikipedia
44,Sudaryono,927,2026-09-22,id.wikipedia
45,Soekarno,924,2026-09-22,id.wikipedia
46,Terikat_Janji,921,2026-09-22,id.wikipedia
47,Andi_Syamsuddin_Arsyad,897,2026-09-22,id.wikipedia
48,Berkas:Peta_indonesia.jpg,886,2026-09-22,id.wikipedia
49,Istri_Satu-Satunya,869,2026-09-22,id.wikipedia
50,X_(media_sosial),864,2026-09-22,id.wikipedia
51,Asal_usul_nama_Wonosobo,843,2026-09-22,id.wikipedia
52,Film_B,825,2026-09-22,id.wikipedia
53,Daftar_film_Indonesia_tahun_2026,805,2026-09-22,id.wikipedia
54,Salihin,803,2026-09-22,id.wikipedia
55,Dilan:_ITB_1997,797,2026-09-22,id.wikipedia
56,XNXX,794,2026-09-22,id.wikipedia
57,Wulan_Guritno,740,2026-09-22,id.wikipedia
58,Cinta_Seluas_Samudra,730,2026-09-22,id.wikipedia
59,The_Prediksi,728,2026-09-22,id.wikipedia
60,Debi_Sagita,726,2026-09-22,id.wikipedia
60,Hery_Susanto,726,2026-09-22,id.wikipedia
62,Raisa,722,2026-09-22,id.wikipedia
63,Muhammad_Bari_Alfarizi,710,2026-09-22,id.wikipedia
64,Ferdy_Sambo,700,2026-09-22,id.wikipedia
65,Adinia_Wirasti,683,2026-09-22,id.wikipedia
66,Piagam_Jakarta,672,2026-09-22,id.wikipedia
67,Istimewa:Perubahan_terbaru,664,2026-09-22,id.wikipedia
68,XHamster,662,2026-09-22,id.wikipedia
69,Listyo_Sigit_Prabowo,658,2026-09-22,id.wikipedia
70,Berkas:XHamster_logo.svg,655,2026-09-22,id.wikipedia
71,Mohammad_Aditya_Pontoh,654,2026-09-22,id.wikipedia
72,Moreno_Soeprapto,651,2026-09-22,id.wikipedia
73,Assalamualaikum,650,2026-09-22,id.wikipedia
74,Sherly_Tjoanda,644,2026-09-22,id.wikipedia
75,Dodhy_Hardiyanto,639,2026-09-22,id.wikipedia
76,Kapal_induk_Italia_Giuseppe_Garibaldi,636,2026-09-22,id.wikipedia
77,Daftar_Bupati_Bolaang_Mongondow_Utara,629,2026-09-22,id.wikipedia
77,Asha_Assuncao,629,2026-09-22,id.wikipedia
79,Badan_Penyelidik_Usaha-Usaha_Persiapan_Kemerdekaan,628,2026-09-22,id.wikipedia
80,Heru_Kesawa_Murti,621,2026-09-22,id.wikipedia
81,Facebook,619,2026-09-22,id.wikipedia
82,Soemitro_Djojohadikoesoemo,616,2026-09-22,id.wikipedia
82,Fattah_Syach,616,2026-09-22,id.wikipedia
84,Nana_(penyanyi),612,2026-09-22,id.wikipedia
85,Imam_Zarkasyi,606,2026-09-22,id.wikipedia
86,Andika_Mahesa,601,2026-09-22,id.wikipedia
87,Uuѕ_(pelawak),595,2026-09-22,id.wikipedia
88,Sumala,589,2026-09-22,id.wikipedia
89,Tan_Malaka,588,2026-09-22,id.wikipedia
90,Junior_Roberts,577,2026-09-22,id.wikipedia
