rank,article,views,date,project
1,Anasayfa,62808,2026-09-20,tr.wikipedia
2,Elif_Eralp,18249,2026-09-20,tr.wikipedia
3,Besnik_Hasi,13185,2026-09-20,tr.wikipedia
4,Amed_SFK,12900,2026-09-20,tr.wikipedia
5,Kaşif_Kozinoğlu,12807,2026-09-20,tr.wikipedia
6,Gülsen_Tuncer,11125,2026-09-20,tr.wikipedia
7,Özel:Ara,9331,2026-09-20,tr.wikipedia
8,Gift_Orban,7180,2026-09-20,tr.wikipedia
9,Husiler,6662,2026-09-20,tr.wikipedia
10,Kadir_İnanır,5980,2026-09-20,tr.wikipedia
11,Jülide_Kural,5819,2026-09-20,tr.wikipedia
12,Thomas_Reis,5389,2026-09-20,tr.wikipedia
13,Dia_Saba,5251,2026-09-20,tr.wikipedia
14,Muhammed_Salah,4930,2026-09-20,tr.wikipedia
15,Süper_Lig_istatistikleri_ve_rekorları_listesi,4787,2026-09-20,tr.wikipedia
16,Uzun_Hasan,4480,2026-09-20,tr.wikipedia
17,Felipe_Massa,4475,2026-09-20,tr.wikipedia
18,Seks_ve_Genç_Kız_(film),4167,2026-09-20,tr.wikipedia
19,Engin_Ayça,4108,2026-09-20,tr.wikipedia
20,Levent_İnanır,4050,2026-09-20,tr.wikipedia
21,İlhan_Fakılı,3856,2026-09-20,tr.wikipedia
22,Teşkilat_(dizi),3493,2026-09-20,tr.wikipedia
23,Aziz_Sancar,3450,2026-09-20,tr.wikipedia
24,II._Mehmed,3423,2026-09-20,tr.wikipedia
25,Neslihan_Acar,3296,2026-09-20,tr.wikipedia
26,Diyarbakır_Stadyumu,3152,2026-09-20,tr.wikipedia
27,Furkan_Soyalp,3078,2026-09-20,tr.wikipedia
28,Süper_Lig_şampiyonları_listesi,3047,2026-09-20,tr.wikipedia
29,Hasan_Atilla_Uğur,3035,2026-09-20,tr.wikipedia
30,Nihat_Kırmızı,2974,2026-09-20,tr.wikipedia
31,Türkiye,2933,2026-09-20,tr.wikipedia
32,Otlukbeli_Muharebesi,2904,2026-09-20,tr.wikipedia
33,Akkoyunlular,2885,2026-09-20,tr.wikipedia
34,Özhan_Pulat,2835,2026-09-20,tr.wikipedia
35,Beşiktaş_10-0_Adana_Demirspor,2786,2026-09-20,tr.wikipedia
36,Gibi_bölümleri_listesi,2770,2026-09-20,tr.wikipedia
37,Soner_Arıca,2739,2026-09-20,tr.wikipedia
38,Umut_Meraş,2538,2026-09-20,tr.wikipedia
39,Emre_Alkin,2514,2026-09-20,tr.wikipedia
40,Enver_Altaylı,2480,2026-09-20,tr.wikipedia
41,Vedat_Muriqi,2444,2026-09-20,tr.wikipedia
42,Yasemin_Ergene,2368,2026-09-20,tr.wikipedia
43,Naim_Süleymanoğlu,2172,2026-09-20,tr.wikipedia
44,Erdoğan_Arıca,2110,2026-09-20,tr.wikipedia
45,Oğuz_Tezmen,2103,2026-09-20,tr.wikipedia
46,Daha_17_(dizi),2099,2026-09-20,tr.wikipedia
47,Diyarbakırspor,2073,2026-09-20,tr.wikipedia
48,Abdullah_Öcalan,1993,2026-09-20,tr.wikipedia
49,Recep_Tayyip_Erdoğan,1963,2026-09-20,tr.wikipedia
50,Burhan_Özfatura,1954,2026-09-20,tr.wikipedia
51,Hiram_Abas,1948,2026-09-20,tr.wikipedia
52,Vincenzo_Italiano,1929,2026-09-20,tr.wikipedia
53,Ruhi_Su,1874,2026-09-20,tr.wikipedia
54,Mehmet_Yeşil,1868,2026-09-20,tr.wikipedia
55,Ali_Şansalan,1866,2026-09-20,tr.wikipedia
56,Hakan_Fidan,1853,2026-09-20,tr.wikipedia
57,Tuzlu_Kahve,1850,2026-09-20,tr.wikipedia
58,Mehmet_Eymür,1802,2026-09-20,tr.wikipedia
59,Vecihi_Hürkuş,1788,2026-09-20,tr.wikipedia
60,Doktorlar_(dizi),1778,2026-09-20,tr.wikipedia
61,Mustafa_Kemal_Atatürk,1768,2026-09-20,tr.wikipedia
62,Süper_Lig_gol_kralları_listesi,1712,2026-09-20,tr.wikipedia
63,II._Bayezid,1694,2026-09-20,tr.wikipedia
64,Cinsel_ilişki,1679,2026-09-20,tr.wikipedia
65,Berat_Albayrak,1675,2026-09-20,tr.wikipedia
66,Süleyman_Seba,1655,2026-09-20,tr.wikipedia
67,Osmanlı_padişahları_listesi,1654,2026-09-20,tr.wikipedia
68,Eyüpspor,1636,2026-09-20,tr.wikipedia
69,Rojin_Kabaiş'in_ölümü,1622,2026-09-20,tr.wikipedia
70,I._Süleyman,1599,2026-09-20,tr.wikipedia
71,Galatasaray-Trabzonspor_rekabeti,1572,2026-09-20,tr.wikipedia
72,Jimmy_Fallon,1562,2026-09-20,tr.wikipedia
73,I._Alâeddin_Keykubad,1546,2026-09-20,tr.wikipedia
74,Veli_Küçük,1499,2026-09-20,tr.wikipedia
75,Ertuğrul_Doğan,1493,2026-09-20,tr.wikipedia
76,Golden_Boy_(ödül),1469,2026-09-20,tr.wikipedia
77,Çirkin_(dizi),1452,2026-09-20,tr.wikipedia
78,Bensu_Soral,1445,2026-09-20,tr.wikipedia
79,Osman_Kavala,1441,2026-09-20,tr.wikipedia
79,Süper_Lig,1441,2026-09-20,tr.wikipedia
81,Bir_sonraki_Türkiye_genel_seçimleri,1435,2026-09-20,tr.wikipedia
82,Trabzonspor_(futbol_takımı),1432,2026-09-20,tr.wikipedia
83,Tarık_Akan,1411,2026-09-20,tr.wikipedia
84,Osmanlı_İmparatorluğu,1404,2026-09-20,tr.wikipedia
85,Melis_Sezen,1397,2026-09-20,tr.wikipedia
86,Kategori:Amerikalı_kadın_pornografik_film_oyuncuları,1391,2026-09-20,tr.wikipedia
87,Türk_dizileri_listesi,1377,2026-09-20,tr.wikipedia
88,2026'da_Türkiye'de_televizyon,1374,2026-09-20,tr.wikipedia
89,Kurtlar_Vadisi_Pusu,1372,2026-09-20,tr.wikipedia
90,Fenerbahçe_(futbol_takımı),1351,2026-09-20,tr.wikipedia
