rank,article,views,date,project
1,Anasayfa,50566,2026-09-22,tr.wikipedia
2,Enver_Altaylı,16064,2026-09-22,tr.wikipedia
3,Özel:Ara,11445,2026-09-22,tr.wikipedia
4,Türkiye'deki_okul_saldırıları_listesi,9499,2026-09-22,tr.wikipedia
5,Elif_Eralp,7988,2026-09-22,tr.wikipedia
6,Uzun_Hasan,7763,2026-09-22,tr.wikipedia
7,Kaşif_Kozinoğlu,7733,2026-09-22,tr.wikipedia
8,Aziz_Sancar,7655,2026-09-22,tr.wikipedia
9,Jülide_Kural,6695,2026-09-22,tr.wikipedia
10,Erkekler_Cumhurbaşkanlığı_Kupası,5915,2026-09-22,tr.wikipedia
11,2026_Kahramanmaraş_okul_saldırısı,5741,2026-09-22,tr.wikipedia
12,Akkoyunlular,5315,2026-09-22,tr.wikipedia
13,Emin_Olcay,4900,2026-09-22,tr.wikipedia
14,Otlukbeli_Muharebesi,4861,2026-09-22,tr.wikipedia
15,II._Mehmed,4728,2026-09-22,tr.wikipedia
16,Seks_ve_Genç_Kız_(film),4680,2026-09-22,tr.wikipedia
17,Hamdi_Ulukaya,4643,2026-09-22,tr.wikipedia
18,Kadir_İnanır,4205,2026-09-22,tr.wikipedia
19,2026_Manisa_okul_saldırısı,3917,2026-09-22,tr.wikipedia
20,Yasemin_Ergene,3629,2026-09-22,tr.wikipedia
21,XHamster,3403,2026-09-22,tr.wikipedia
22,Emre_Alkin,3318,2026-09-22,tr.wikipedia
23,Oğuz_Tezmen,3240,2026-09-22,tr.wikipedia
24,I._Selim,3213,2026-09-22,tr.wikipedia
25,Türkiye,3137,2026-09-22,tr.wikipedia
26,Fenerbahçe_(basketbol_takımı),3080,2026-09-22,tr.wikipedia
27,Burhan_Özfatura,3033,2026-09-22,tr.wikipedia
28,Gedik_Ahmed_Paşa,2961,2026-09-22,tr.wikipedia
29,Ruzi_Nazar,2855,2026-09-22,tr.wikipedia
30,II._Bayezid,2788,2026-09-22,tr.wikipedia
31,Levent_İnanır,2727,2026-09-22,tr.wikipedia
32,Gibi_bölümleri_listesi,2702,2026-09-22,tr.wikipedia
33,Amed_SFK,2475,2026-09-22,tr.wikipedia
34,Hiram_Abas,2423,2026-09-22,tr.wikipedia
35,Altı_Üstü_İstanbul,2415,2026-09-22,tr.wikipedia
36,Doktorlar_(dizi),2363,2026-09-22,tr.wikipedia
37,Tuzlu_Kahve,2353,2026-09-22,tr.wikipedia
38,UEFA_Uluslar_Ligi,2227,2026-09-22,tr.wikipedia
39,Recep_Tayyip_Erdoğan,2217,2026-09-22,tr.wikipedia
40,Naim_Süleymanoğlu,2197,2026-09-22,tr.wikipedia
41,2026_Şanlıurfa_okul_saldırısı,2188,2026-09-22,tr.wikipedia
42,Mehmet_Eymür,2181,2026-09-22,tr.wikipedia
43,Nebahat_Çehre,2157,2026-09-22,tr.wikipedia
44,Okul_saldırısı,2107,2026-09-22,tr.wikipedia
45,Osmanlı_padişahları_listesi,2104,2026-09-22,tr.wikipedia
46,Binnur_Kaya,2098,2026-09-22,tr.wikipedia
47,Soner_Arıca,1989,2026-09-22,tr.wikipedia
48,Abdullah_Çatlı,1961,2026-09-22,tr.wikipedia
49,I._Süleyman,1960,2026-09-22,tr.wikipedia
50,Fuat_Doğu,1927,2026-09-22,tr.wikipedia
51,Erdoğan_Arıca,1904,2026-09-22,tr.wikipedia
52,Gift_Orban,1895,2026-09-22,tr.wikipedia
53,Cinsel_ilişki,1892,2026-09-22,tr.wikipedia
54,Mustafa_Kemal_Atatürk,1811,2026-09-22,tr.wikipedia
55,Eda_Ece,1792,2026-09-22,tr.wikipedia
56,Basketbol_Süper_Ligi_şampiyonları_listesi,1768,2026-09-22,tr.wikipedia
57,Saruca_Paşa_(denizci),1754,2026-09-22,tr.wikipedia
58,Dünya_5'ten_büyüktür,1705,2026-09-22,tr.wikipedia
59,Cem_Sultan,1663,2026-09-22,tr.wikipedia
