rank,article,views,date,project
1,Anasayfa,49885,2026-09-21,tr.wikipedia
2,Elif_Eralp,31574,2026-09-21,tr.wikipedia
3,Jülide_Kural,17501,2026-09-21,tr.wikipedia
4,Özel:Ara,10501,2026-09-21,tr.wikipedia
5,Burhan_Özfatura,9024,2026-09-21,tr.wikipedia
6,Aziz_Sancar,8637,2026-09-21,tr.wikipedia
7,Kadir_İnanır,7892,2026-09-21,tr.wikipedia
8,Amed_SFK,7582,2026-09-21,tr.wikipedia
9,Kaşif_Kozinoğlu,7557,2026-09-21,tr.wikipedia
10,Besnik_Hasi,6551,2026-09-21,tr.wikipedia
11,Levent_İnanır,4795,2026-09-21,tr.wikipedia
12,Seks_ve_Genç_Kız_(film),4570,2026-09-21,tr.wikipedia
13,Oğuz_Tezmen,4427,2026-09-21,tr.wikipedia
14,Gülsen_Tuncer,4406,2026-09-21,tr.wikipedia
15,Gift_Orban,4317,2026-09-21,tr.wikipedia
16,Enver_Altaylı,3996,2026-09-21,tr.wikipedia
17,Soner_Arıca,3898,2026-09-21,tr.wikipedia
18,XHamster,3803,2026-09-21,tr.wikipedia
19,Dia_Saba,3714,2026-09-21,tr.wikipedia
20,Emin_Olcay,3635,2026-09-21,tr.wikipedia
21,Naim_Süleymanoğlu,3347,2026-09-21,tr.wikipedia
22,Husiler,3275,2026-09-21,tr.wikipedia
23,Özhan_Pulat,3220,2026-09-21,tr.wikipedia
24,Yasemin_Ergene,3167,2026-09-21,tr.wikipedia
25,Türkiye,3132,2026-09-21,tr.wikipedia
26,Erdoğan_Arıca,2886,2026-09-21,tr.wikipedia
27,Gibi_bölümleri_listesi,2761,2026-09-21,tr.wikipedia
28,II._Mehmed,2748,2026-09-21,tr.wikipedia
29,Osman_Sınav,2730,2026-09-21,tr.wikipedia
30,Hamdi_Ulukaya,2718,2026-09-21,tr.wikipedia
31,Emre_Alkin,2691,2026-09-21,tr.wikipedia
32,Uzun_Hasan,2586,2026-09-21,tr.wikipedia
33,Teşkilat_(dizi),2446,2026-09-21,tr.wikipedia
34,Doktorlar_(dizi),2343,2026-09-21,tr.wikipedia
35,Altı_Üstü_İstanbul,2279,2026-09-21,tr.wikipedia
36,Süleyman_Seba,2246,2026-09-21,tr.wikipedia
37,Alper_Gezeravcı,2029,2026-09-21,tr.wikipedia
