rank,article,views,date,project
1,メインページ,822426,2026-09-21,ja.wikipedia
2,千葉小3女児殺害事件,411407,2026-09-21,ja.wikipedia
3,猪俣周杜,82981,2026-09-21,ja.wikipedia
4,石橋静河,82585,2026-09-21,ja.wikipedia
5,特別:検索,73847,2026-09-21,ja.wikipedia
6,Timelesz,71526,2026-09-21,ja.wikipedia
7,宇野千代,69364,2026-09-21,ja.wikipedia
8,長宗我部元親,49453,2026-09-21,ja.wikipedia
9,ブラッサム,40131,2026-09-21,ja.wikipedia
10,踊る大捜査線,40068,2026-09-21,ja.wikipedia
11,蜂須賀正勝,38207,2026-09-21,ja.wikipedia
12,大友愛,36406,2026-09-21,ja.wikipedia
13,秋本美空,35711,2026-09-21,ja.wikipedia
14,石橋凌,33654,2026-09-21,ja.wikipedia
15,草刈正雄,31758,2026-09-21,ja.wikipedia
16,新浜レオン,30701,2026-09-21,ja.wikipedia
17,松岡茉優,28529,2026-09-21,ja.wikipedia
18,山田純大,27685,2026-09-21,ja.wikipedia
19,仲里依紗,27091,2026-09-21,ja.wikipedia
20,原田美枝子,27082,2026-09-21,ja.wikipedia
21,和田明日香,25873,2026-09-21,ja.wikipedia
22,篠塚大輝,24859,2026-09-21,ja.wikipedia
23,織田裕二,24718,2026-09-21,ja.wikipedia
24,タナパック・ジョンジャイパー,24410,2026-09-21,ja.wikipedia
25,VIVANT,24093,2026-09-21,ja.wikipedia
26,磯部寛之,23852,2026-09-21,ja.wikipedia
27,甲本雅裕,23810,2026-09-21,ja.wikipedia
28,西脇綾香,22655,2026-09-21,ja.wikipedia
29,甲本ヒロト,22488,2026-09-21,ja.wikipedia
30,全国高等学校クイズ選手権の全国大会出場校一覧,21469,2026-09-21,ja.wikipedia
31,オデュッセイア_(映画),20891,2026-09-21,ja.wikipedia
32,Perfume,20838,2026-09-21,ja.wikipedia
33,小川眞由美,20676,2026-09-21,ja.wikipedia
34,中村ゆり,20540,2026-09-21,ja.wikipedia
35,SHISHAMO,20420,2026-09-21,ja.wikipedia
36,菊池風磨,19428,2026-09-21,ja.wikipedia
37,山田二千華,19005,2026-09-21,ja.wikipedia
38,和田由紀子,18740,2026-09-21,ja.wikipedia
39,豊臣秀次,18479,2026-09-21,ja.wikipedia
40,諸橋愛,18434,2026-09-21,ja.wikipedia
41,橋本将生,18374,2026-09-21,ja.wikipedia
